service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
244.0.1,0,0,0,0,0,1,0,20260518,20260823
244.0.2,0,0,0,0,0,0,1,20260518,20260823
244.0.3,1,1,1,1,1,0,0,20260518,20260823
261.0.5,1,1,1,1,1,0,0,20260518,20260823
261.0.6,0,0,0,0,0,1,0,20260518,20260823
261.0.7,0,0,0,0,0,0,1,20260518,20260823
261.0.8,0,0,0,0,0,0,0,20260518,20260823
261.0.11,0,0,0,0,0,0,0,20260518,20260823
261.0.12,0,0,0,0,0,0,0,20260518,20260823
261.0.14,0,0,0,0,0,0,0,20260518,20260823
