service_id,date,exception_type
244.0.2,20260518,1
244.0.3,20260518,2
244.1141.3,20260519,1
244.1141.3,20260520,1
244.1141.3,20260521,1
244.1141.3,20260522,1
244.1141.3,20260525,1
244.1141.3,20260526,1
244.1141.3,20260527,1
244.1141.3,20260528,1
244.1141.3,20260529,1
244.1141.3,20260601,1
244.1141.3,20260602,1
244.1141.3,20260603,1
244.1141.3,20260604,1
244.1141.3,20260605,1
244.1141.3,20260608,1
244.1141.3,20260609,1
244.1141.3,20260610,1
244.1141.3,20260611,1
244.1141.3,20260612,1
244.1141.3,20260615,1
244.1141.3,20260616,1
244.1141.3,20260617,1
244.1141.3,20260618,1
244.1141.3,20260619,1
244.1141.3,20260622,1
244.1141.3,20260623,1
244.1141.3,20260624,1
244.1141.3,20260625,1
244.1141.3,20260626,1
244.1143.3,20260629,1
244.1141.3,20260630,1
244.0.2,20260701,1
244.0.3,20260701,2
244.1143.3,20260702,1
244.1143.3,20260703,1
244.1143.3,20260706,1
244.1143.3,20260707,1
244.1143.3,20260708,1
244.1143.3,20260709,1
244.1143.3,20260710,1
244.1143.3,20260713,1
244.1143.3,20260714,1
244.1143.3,20260715,1
244.1143.3,20260716,1
244.1143.3,20260717,1
244.1143.3,20260720,1
244.1143.3,20260721,1
244.1143.3,20260722,1
244.1143.3,20260723,1
244.1143.3,20260724,1
244.1143.3,20260727,1
244.1143.3,20260728,1
244.1143.3,20260729,1
244.1143.3,20260730,1
244.1143.3,20260731,1
244.0.2,20260803,1
244.0.3,20260803,2
244.1143.3,20260804,1
244.1143.3,20260805,1
244.1143.3,20260806,1
244.1143.3,20260807,1
244.1143.3,20260810,1
244.1143.3,20260811,1
244.1143.3,20260812,1
244.1143.3,20260813,1
244.1143.3,20260814,1
244.1143.3,20260817,1
244.1143.3,20260818,1
244.1143.3,20260819,1
244.1143.3,20260820,1
244.1143.3,20260821,1
261.0.8,20260518,1
261.0.5,20260518,2
261.0.11,20260701,1
261.0.5,20260701,2
261.0.8,20260803,1
261.0.5,20260803,2
